Date,Year,Month,Day,Day of Week,Quarter,Week of Year,Is Weekend
2021-04-22,2021,4,22,Thursday,2,16,False
2021-04-23,2021,4,23,Friday,2,16,False
2021-04-24,2021,4,24,Saturday,2,16,True
2021-04-25,2021,4,25,Sunday,2,16,True
2021-04-26,2021,4,26,Monday,2,17,False
2021-04-27,2021,4,27,Tuesday,2,17,False
2021-04-28,2021,4,28,Wednesday,2,17,False
2021-04-29,2021,4,29,Thursday,2,17,False
2021-04-30,2021,4,30,Friday,2,17,False
2021-05-01,2021,5,1,Saturday,2,17,True
2021-05-02,2021,5,2,Sunday,2,17,True
2021-05-03,2021,5,3,Monday,2,18,False
2021-05-04,2021,5,4,Tuesday,2,18,False
2021-05-05,2021,5,5,Wednesday,2,18,False
2021-05-06,2021,5,6,Thursday,2,18,False
2021-05-07,2021,5,7,Friday,2,18,False
2021-05-08,2021,5,8,Saturday,2,18,True
2021-05-09,2021,5,9,Sunday,2,18,True
2021-05-10,2021,5,10,Monday,2,19,False
2021-05-11,2021,5,11,Tuesday,2,19,False
2021-05-12,2021,5,12,Wednesday,2,19,False
2021-05-13,2021,5,13,Thursday,2,19,False
2021-05-14,2021,5,14,Friday,2,19,False
2021-05-15,2021,5,15,Saturday,2,19,True
2021-05-16,2021,5,16,Sunday,2,19,True
2021-05-17,2021,5,17,Monday,2,20,False
2021-05-18,2021,5,18,Tuesday,2,20,False
2021-05-19,2021,5,19,Wednesday,2,20,False
2021-05-20,2021,5,20,Thursday,2,20,False
2021-05-21,2021,5,21,Friday,2,20,False
2021-05-22,2021,5,22,Saturday,2,20,True
2021-05-23,2021,5,23,Sunday,2,20,True
2021-05-24,2021,5,24,Monday,2,21,False
2021-05-25,2021,5,25,Tuesday,2,21,False
2021-05-26,2021,5,26,Wednesday,2,21,False
2021-05-27,2021,5,27,Thursday,2,21,False
2021-05-28,2021,5,28,Friday,2,21,False
2021-05-29,2021,5,29,Saturday,2,21,True
2021-05-30,2021,5,30,Sunday,2,21,True
2021-05-31,2021,5,31,Monday,2,22,False
2021-06-01,2021,6,1,Tuesday,2,22,False
2021-06-02,2021,6,2,Wednesday,2,22,False
2021-06-03,2021,6,3,Thursday,2,22,False
2021-06-04,2021,6,4,Friday,2,22,False
2021-06-05,2021,6,5,Saturday,2,22,True
2021-06-06,2021,6,6,Sunday,2,22,True
2021-06-07,2021,6,7,Monday,2,23,False
2021-06-08,2021,6,8,Tuesday,2,23,False
2021-06-09,2021,6,9,Wednesday,2,23,False
2021-06-10,2021,6,10,Thursday,2,23,False
2021-06-11,2021,6,11,Friday,2,23,False
2021-06-12,2021,6,12,Saturday,2,23,True
2021-06-13,2021,6,13,Sunday,2,23,True
2021-06-14,2021,6,14,Monday,2,24,False
2021-06-15,2021,6,15,Tuesday,2,24,False
2021-06-16,2021,6,16,Wednesday,2,24,False
2021-06-17,2021,6,17,Thursday,2,24,False
2021-06-18,2021,6,18,Friday,2,24,False
2021-06-19,2021,6,19,Saturday,2,24,True
2021-06-20,2021,6,20,Sunday,2,24,True
2021-06-21,2021,6,21,Monday,2,25,False
2021-06-22,2021,6,22,Tuesday,2,25,False
2021-06-23,2021,6,23,Wednesday,2,25,False
2021-06-24,2021,6,24,Thursday,2,25,False
2021-06-25,2021,6,25,Friday,2,25,False
2021-06-26,2021,6,26,Saturday,2,25,True
2021-06-27,2021,6,27,Sunday,2,25,True
2021-06-28,2021,6,28,Monday,2,26,False
2021-06-29,2021,6,29,Tuesday,2,26,False
2021-06-30,2021,6,30,Wednesday,2,26,False
2021-07-01,2021,7,1,Thursday,3,26,False
2021-07-02,2021,7,2,Friday,3,26,False
2021-07-03,2021,7,3,Saturday,3,26,True
2021-07-04,2021,7,4,Sunday,3,26,True
